# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
       128;      2.8;      0.0;           ;      -26.31950632;    -0.00454868;        12.8497;        89.0161;     0.140865
       129;      2.9;      0.0;           ;      -26.31971477;    -0.00020845;        15.4817;       134.3436;     0.044765
       130;      2.9;      0.1;           ;      -26.32404397;    -0.00432920;        13.1329;        48.9861;     0.042185
       131;      2.8;      0.0;           ;      -26.32409728;    -0.00005331;        14.3034;        53.4509;     0.005248
       132;      2.9;      0.0;           ;      -26.32803071;    -0.00393344;        11.0794;        71.0572;     0.117114
       133;      2.8;      0.0;           ;      -26.32847846;    -0.00044774;        14.2107;       109.4855;     0.061136
       134;      2.9;      0.0;           ;      -26.33221248;    -0.00373402;        11.8668;        42.5559;     0.028538
       135;      2.8;      0.0;           ;      -26.33241491;    -0.00020242;        13.8765;        56.1332;     0.008395
       136;      3.0;      0.0;           ;      -26.33668363;    -0.00426872;        11.7583;        76.0664;     0.154970
       137;      2.8;      0.0;           ;      -26.33680900;    -0.00012536;        12.4440;        89.1034;     0.018089
       138;      2.9;      0.0;           ;      -26.34064859;    -0.00383959;        11.8786;        55.9461;     0.070760
       139;      2.8;      0.1;           ;      -26.34343615;    -0.00278756;         8.9785;        45.8607;     0.081699
       140;      2.8;      0.0;           ;      -26.34365599;    -0.00021984;        10.8135;        64.5779;     0.032046
       141;      2.9;      0.0;           ;      -26.34613467;    -0.00247868;         9.6879;        50.5948;     0.047601
       142;      2.9;      0.0;           ;      -26.34871552;    -0.00258085;         9.8510;        67.7697;     0.067622
       143;      2.8;      0.1;           ;      -26.34877981;    -0.00006429;        11.3393;        81.7776;     0.012791
       144;      2.8;      0.0;           ;      -26.35093436;    -0.00215455;         8.8575;        54.5546;     0.021821
       145;      2.9;      0.0;           ;      -26.35107182;    -0.00013746;        11.0794;        98.7009;     0.007085
       146;      2.8;      0.0;           ;      -26.35282097;    -0.00174915;         7.8020;        34.7159;     0.025702
       147;      2.9;      0.1;           ;      -26.35344376;    -0.00062279;        10.6774;        74.3300;     0.027072
       148;      2.8;      0.0;           ;      -26.35521717;    -0.00177341;         7.2330;        33.0774;     0.018230
       149;      2.7;      0.0;           ;      -26.35570641;    -0.00048925;         9.7622;        51.5916;     0.015858
       150;      2.8;      0.0;           ;      -26.35728170;    -0.00157529;         6.7668;        30.7034;     0.032658
       151;      2.8;      0.0;           ;      -26.35771329;    -0.00043159;         9.0694;        35.4131;     0.028408
       152;      2.8;      0.1;           ;      -26.35922194;    -0.00150864;         6.7182;        24.3948;     0.028501
       153;      2.9;      0.0;           ;      -26.35966825;    -0.00044631;         9.1990;        38.1378;     0.026229
       154;      2.8;      0.0;           ;      -26.36135133;    -0.00168309;         6.6393;        29.0467;     0.029042
       155;      2.8;      0.0;           ;      -26.36168494;    -0.00033361;         9.1526;        39.4606;     0.020028
       156;      2.8;      0.1;           ;      -26.36305956;    -0.00137462;         6.2630;        30.9477;     0.023625
       157;      2.8;      0.0;           ;      -26.36329866;    -0.00023909;         8.2792;        35.0196;     0.014824
       158;      2.7;      0.0;           ;      -26.36437242;    -0.00107376;         5.5423;        19.8618;     0.016849
       159;      2.8;      0.0;           ;      -26.36463912;    -0.00026671;         7.5016;        25.1778;     0.013585
       160;      2.7;      3.3;           ;      -26.36558070;    -0.00094157;         5.4761;        23.0449;     0.020025
       161;      2.7;      0.0;           ;      -26.36601623;    -0.00043553;         7.8389;        29.1846;     0.025950
       162;      2.8;      0.0;           ;      -26.36710462;    -0.00108840;         5.4887;        25.6959;     0.017304
       163;      2.8;      0.0;           ;      -26.36740991;    -0.00030529;         7.4361;        31.3643;     0.015266
       164;      2.8;      0.0;           ;      -26.36838769;    -0.00097778;         5.6828;        23.7001;     0.032232
       165;      2.8;      0.1;           ;      -26.36850187;    -0.00011418;         7.2860;        39.4363;     0.015604
       166;      2.9;      0.0;           ;      -26.36945518;    -0.00095330;         5.7828;        27.4730;     0.020135
       167;      2.8;      0.0;           ;      -26.36963290;    -0.00017772;         7.7227;        47.4176;     0.013289
       168;      2.8;      0.0;           ;      -26.37068424;    -0.00105134;         6.1039;        25.3559;     0.037101
       169;      2.8;      0.1;           ;      -26.37084034;    -0.00015611;         8.0670;        42.7452;     0.021499
       170;      2.9;      0.0;           ;      -26.37194197;    -0.00110163;         6.0189;        30.2299;     0.021029
       171;      2.9;      0.0;           ;      -26.37219533;    -0.00025336;         8.1929;        36.4055;     0.016161
       172;      2.8;      0.0;           ;      -26.37338725;    -0.00119192;         6.2862;        26.3948;     0.047948
       173;      2.8;      0.1;           ;      -26.37359561;    -0.00020836;         8.6632;        65.8558;     0.032638
       174;      2.8;      0.0;           ;      -26.37472825;    -0.00113264;         5.8571;        23.4455;     0.017570
       175;      2.8;      0.0;           ;      -26.37482719;    -0.00009894;         7.1621;        46.9797;     0.006984
       176;      2.8;      0.0;           ;      -26.37571232;    -0.00088514;         6.1327;        28.8224;     0.051803
       177;      2.8;      0.0;           ;      -26.37577084;    -0.00005852;         7.5102;        54.4391;     0.018822
       178;      2.8;      0.1;           ;      -26.37674899;    -0.00097815;         5.6067;        22.0112;     0.017612
       179;      2.8;      0.0;           ;      -26.37692532;    -0.00017632;         7.5868;        34.9688;     0.011343
       180;      2.8;      0.0;           ;      -26.37793842;    -0.00101310;         5.5932;        20.7726;     0.045277
       181;      2.8;      0.0;           ;      -26.37825776;    -0.00031934;         8.1241;        58.9245;     0.046694
       182;      2.7;      0.1;           ;      -26.37929434;    -0.00103657;         5.4032;        17.9449;     0.016172
       183;      2.8;      0.0;           ;      -26.37945845;    -0.00016412;         6.7711;        37.2057;     0.009492
       184;      3.0;      0.0;           ;      -26.38036327;    -0.00090482;         6.3972;        41.8971;     0.064295
       185;      2.8;      0.0;           ;      -26.38041389;    -0.00005062;         8.0307;        73.1952;     0.022535
       186;      2.8;      0.1;           ;      -26.38136804;    -0.00095416;         6.0067;        19.2081;     0.017848
       187;      2.7;      0.0;           ;      -26.38140906;    -0.00004102;         6.9363;        27.9923;     0.004549
       188;      2.8;      0.0;           ;      -26.38229711;    -0.00088805;         5.3129;        20.8250;     0.049181
       189;      2.8;      0.0;           ;      -26.38245271;    -0.00015560;         7.4854;        57.7744;     0.034214
       190;      2.8;      0.0;           ;      -26.38328913;    -0.00083642;         4.9934;        23.0072;     0.008641
       191;      2.7;      0.1;           ;      -26.38346287;    -0.00017374;         6.4006;        30.1930;     0.006127
       192;      2.8;      0.0;           ;      -26.38426962;    -0.00080675;         5.0187;        24.5248;     0.047141
       193;      2.8;      0.0;           ;      -26.38443707;    -0.00016745;         7.3466;        55.9402;     0.037071
       194;      2.8;      0.0;           ;      -26.38526590;    -0.00082883;         4.9723;        20.5944;     0.008315
       195;      2.8;      0.1;           ;      -26.38542637;    -0.00016047;         6.4913;        32.2462;     0.005613
       196;      2.8;      0.0;           ;      -26.38617320;    -0.00074684;         4.9694;        21.9077;     0.049614
       197;      2.8;      0.0;           ;      -26.38624601;    -0.00007281;         6.4125;        49.4517;     0.023042
       198;      2.8;      0.0;           ;      -26.38689461;    -0.00064861;         4.7198;        14.8681;     0.011794
       199;      2.8;      0.1;           ;      -26.38694271;    -0.00004810;         5.7972;        26.9771;     0.004208
       200;      2.8;      0.0;           ;      -26.38751953;    -0.00057682;         4.4077;        14.8574;     0.031714
       201;      2.8;      0.0;           ;      -26.38767943;    -0.00015990;         6.2081;        38.4402;     0.029140
       202;      2.9;      0.0;           ;      -26.38830287;    -0.00062345;         4.5457;        19.1180;     0.008440
       203;      2.9;      0.0;           ;      -26.38836733;    -0.00006445;         5.8575;        42.8466;     0.003727
       204;      2.8;      0.1;           ;      -26.38888777;    -0.00052045;         4.0771;        13.9199;     0.022377
       205;      2.9;      0.0;           ;      -26.38905372;    -0.00016595;         5.5079;        29.8287;     0.022026
       206;      2.9;      0.0;           ;      -26.38955882;    -0.00050510;         3.8321;        15.7901;     0.012173
       207;      2.8;      0.0;           ;      -26.38969679;    -0.00013796;         5.3055;        23.2376;     0.010510
       208;      2.7;      0.1;           ;      -26.39017233;    -0.00047554;         3.8704;        14.6568;     0.018128
       209;      2.8;      0.0;           ;      -26.39033595;    -0.00016361;         5.6332;        21.0620;     0.018572
       210;      2.7;      0.0;           ;      -26.39087362;    -0.00053767;         4.1924;        21.5468;     0.021525
       211;      2.9;      0.0;           ;      -26.39112212;    -0.00024850;         6.2513;        29.1897;     0.027759
       212;      2.9;      0.1;           ;      -26.39179146;    -0.00066934;         4.6137;        18.1926;     0.018921
       213;      2.8;      0.0;           ;      -26.39204099;    -0.00024953;         6.5855;        29.6094;     0.020658
       214;      2.9;      0.0;           ;      -26.39287702;    -0.00083603;         5.4570;        32.2844;     0.052723
       215;      2.9;      0.0;           ;      -26.39304564;    -0.00016862;         7.8156;        77.2441;     0.039462
       216;      2.9;      0.1;           ;      -26.39401261;    -0.00096697;         5.7892;        21.9465;     0.027549
       217;      2.8;      0.0;           ;      -26.39412682;    -0.00011421;         7.1754;        34.4516;     0.013385
       218;      3.0;      0.0;           ;      -26.39514504;    -0.00101822;         5.4846;        24.4819;     0.065117
       219;      2.9;      0.0;           ;      -26.39535842;    -0.00021338;         7.6552;        37.4485;     0.048613
       220;      2.9;      0.0;           ;      -26.39641467;    -0.00105625;         5.7494;        27.3354;     0.043309
       221;      2.9;      0.1;           ;      -26.39674835;    -0.00033368;         8.5007;        33.6497;     0.041666
       222;      2.8;      0.0;           ;      -26.39798392;    -0.00123557;         6.5659;        27.1691;     0.068386
       223;      2.8;      0.0;           ;      -26.39848834;    -0.00050441;         9.7879;        38.2147;     0.083075
       224;      2.9;      0.0;           ;      -26.40010853;    -0.00162020;         7.0957;        31.9635;     0.044646
       225;      3.0;      0.1;           ;      -26.40057664;    -0.00046811;         9.7069;        46.4210;     0.040291
       226;      2.7;      0.0;           ;      -26.40221241;    -0.00163576;         7.1694;        34.2936;     0.097113
       227;      2.8;      0.0;           ;      -26.40259799;    -0.00038558;         9.2348;        36.5947;     0.081684
       228;      2.9;      0.0;           ;      -26.40423163;    -0.00163365;         8.7693;        40.5771;     0.050143
       229;      2.8;      0.1;           ;      -26.40601883;    -0.00178720;         8.1600;        34.5589;     0.128264
       230;      2.8;      0.0;           ;      -26.40608680;    -0.00006797;         9.5231;        46.9872;     0.034165
       231;      2.8;      0.1;           ;      -26.40807712;    -0.00199032;         8.2057;        39.3145;     0.042335
